N,L,choice,numProc,numThread,timeTaken
147023,200,9,4,4,0.240726
147023,200,8,3,3,0.18816
147023,200,8,1,1,0.500243
147023,200,8,4,4,0.145055
147023,200,8,2,2,0.27855
120,18,8,5,5,0.000223875
120,18,8,6,6,0.000228167
120,18,9,5,5,0.00126195
120,18,9,6,6,0.001297
120,18,8,5,5,0.000206232
120,18,8,6,6,0.000217915
120,18,9,5,5,0.0010581
120,18,9,6,6,0.00113297
120,18,8,5,5,0.000207901
120,18,8,6,6,0.000212908
120,18,9,5,5,0.00103998
120,18,9,6,6,0.00107718
147023,200,9,3,3,0.289042
120,18,8,5,5,0.000200987
120,18,8,6,6,0.000211954
120,18,9,5,5,0.00106597
120,18,9,6,6,0.00111198
120,18,8,5,5,0.000216961
120,18,8,6,6,0.000211954
120,18,9,5,5,0.00107193
120,18,9,6,6,0.00111604
10549,100,8,5,5,0.00666308
147023,200,9,4,4,0.240811
10549,100,8,6,6,0.00536799
147023,200,9,1,1,0.529995
10549,100,9,5,5,0.0130589
147023,200,9,2,2,0.351449
10549,100,9,6,6,0.010854
10549,100,8,5,5,0.00660992
10549,100,8,6,6,0.00550008
10549,100,9,5,5,0.013036
10549,100,9,6,6,0.01072
10549,100,8,5,5,0.00603819
10549,100,8,6,6,0.00541401
10549,100,9,5,5,0.0140409
10549,100,9,6,6,0.0116169
10549,100,8,5,5,0.00637388
10549,100,8,6,6,0.00524211
10549,100,9,5,5,0.0135732
10549,100,9,6,6,0.011796
10549,100,8,5,5,0.00621319
10549,100,9,5,5,0.0138071
10549,100,9,6,6,0.011307
147023,200,8,5,5,0.120793
147023,200,8,6,6,0.106933
147023,200,8,3,3,0.187223
147023,200,8,4,4,0.144201
147023,200,8,2,2,0.266873
147023,200,8,1,1,0.498963
147023,200,9,5,5,0.202159
147023,200,9,6,6,0.175168
147023,200,9,3,3,0.273889
147023,200,9,4,4,0.217342
147023,200,9,2,2,0.368061
147023,200,9,1,1,0.529659
147023,200,8,6,6,0.101512
147023,200,8,5,5,0.144228
147023,200,8,3,3,0.183517
147023,200,8,4,4,0.143258
147023,200,8,2,2,0.278234
147023,200,8,1,1,0.47387
147023,200,9,6,6,0.166684
147023,200,9,5,5,0.193972
147023,200,9,3,3,0.269421
147023,200,9,4,4,0.217703
147023,200,9,2,2,0.366026
147023,200,9,1,1,0.517625
147023,200,8,6,6,0.109669
147023,200,8,5,5,0.1172
147023,200,8,3,3,0.188782
147023,200,8,4,4,0.14485
147023,200,8,2,2,0.275362
147023,200,8,1,1,0.500457
147023,200,9,6,6,0.166619
147023,200,9,5,5,0.197407
147023,200,9,3,3,0.290037
147023,200,9,4,4,0.228925
147023,200,9,2,2,0.34624
147023,200,8,6,6,0.097873
147023,200,9,1,1,0.51774
147023,200,8,5,5,0.116723
147023,200,9,6,6,0.164195
147023,200,9,5,5,0.199954
147023,200,8,6,6,0.0974488
147023,200,8,5,5,0.118204
147023,200,9,6,6,0.17811
147023,200,9,5,5,0.202826
120,18,8,7,7,0.000267029
120,18,9,7,7,0.00125289
120,18,8,7,7,0.000241041
120,18,9,7,7,0.00123119
120,18,8,7,7,0.000235081
120,18,9,7,7,0.00188208
120,18,8,7,7,0.000231028
120,18,9,7,7,0.00147986
120,18,8,7,7,0.000235081
120,18,9,7,7,0.00120902
10549,100,8,7,7,0.00567102
10549,100,9,7,7,0.0112569
10549,100,8,7,7,0.00483894
10549,100,9,7,7,0.011889
10549,100,8,7,7,0.00465798
10549,100,9,7,7,0.011759
10549,100,8,7,7,0.00481105
10549,100,9,7,7,0.0125232
10549,100,8,7,7,0.00466394
10549,100,9,7,7,0.0108361
147023,200,8,7,7,0.0893691
147023,200,9,7,7,0.170951
147023,200,8,7,7,0.086488
147023,200,9,7,7,0.157474
147023,200,8,7,7,0.0928679
147023,200,9,7,7,0.171484
147023,200,8,7,7,0.0868452
147023,200,9,7,7,0.158304
147023,200,8,7,7,0.0874381
147023,200,9,7,7,0.157298
120,18,8,8,8,0.00030303
120,18,9,8,8,0.00136209
120,18,8,8,8,0.000257969
120,18,9,8,8,0.00141501
120,18,8,8,8,0.000384092
120,18,9,8,8,0.00144792
120,18,8,8,8,0.000187159
120,18,9,8,8,0.00145602
120,18,8,8,8,0.000364065
120,18,9,8,8,0.00144792
10549,100,8,8,8,0.00487089
10549,100,9,8,8,0.0111639
10549,100,8,8,8,0.00416017
10549,100,9,8,8,0.0114431
10549,100,8,8,8,0.00427914
10549,100,9,8,8,0.012197
10549,100,8,8,8,0.00636315
10549,100,9,8,8,0.0110741
10549,100,8,8,8,0.00412989
10549,100,9,8,8,0.011302
147023,200,8,8,8,0.07336
147023,200,9,8,8,0.149191
147023,200,8,8,8,0.0759852
147023,200,9,8,8,0.148492
147023,200,8,8,8,0.0773489
147023,200,9,8,8,0.133825
147023,200,8,8,8,0.0774961
147023,200,9,8,8,0.133047
147023,200,8,8,8,0.077307
147023,200,9,8,8,0.134573

